Airport Code,Airport Name,City,Country,Latitude,Longitude
AAE,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174
AAL,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.26169968,55.60919952
AAQ,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148
AAR,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043
AAT,Altay Air Base,Altay,China,47.74988556,88.0858078
AAX,Romeu Zema Airport,Araxa,Brazil,-19.5632,-46.96039963
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.19169998,52.17499924
ABA,Abakan Airport,Abakan,Russia,53.74000168,91.38500214
ABB,Asaba International Airport,Asaba,Nigeria,6.204167,6.665278
ABD,Abadan Airport,Abadan,Iran,30.37109947,48.22829819
ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353
ABI,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035
ABL,Ambler Airport,Ambler,United States,67.1063,-157.856989
ABM,Northern Peninsula Airport,Amberley,Australia,-10.9508,142.459
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001
ABR,Aberdeen Regional Airport,Aberdeen,United States,45.44910049,-98.42179871
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.37599945,31.61170006
ABT,Al Baha Airport,El-baha,Saudi Arabia,20.29610062,41.63430023
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161,7.263169765
ABX,Albury Airport,Albury,Australia,-36.06779861,146.9579926
ABY,Southwest Georgia Regional Airport,Albany,United States,31.53549957,-84.19450378
ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.20190048,-2.197779894
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,16.75709915,-99.7539978
ACC,Kotoka International Airport,Accra,Ghana,5.6051898,-0.166786
ACE,Lanzarote Airport,Arrecife,Spain,28.945499,-13.6052
ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,47.48500061,9.560770035
ACI,Alderney Airport,Alderney,Guernsey,49.706104,-2.21472
ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355
ACR,Araracuara Airport,Araracuara,Colombia,-0.5833,-72.4083
ACT,Waco Regional Airport,Waco,United States,31.61129951,-97.23049927
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,40.978101,-124.109
ACX,Xingyi Airport,Xingyi,China,25.08638889,104.9594444
ACY,Atlantic City International Airport,Atlantic City,United States,39.45759964,-74.57720184
ACZ,Zabol Airport,Zabol,Iran,31.09830093,61.54389954
ADA,Adana Airport,Adana,Turkey,36.98220062,35.28039932
ADB,Adnan Menderes International Airport,Izmir,Turkey,38.29240036,27.15699959
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.977890015,38.79930115
ADE,Aden International Airport,Aden,Yemen,12.8295002,45.02880096
ADF,Adıyaman Airport,Adiyaman,Turkey,37.73139954,38.46889877
ADK,Adak Airport,Adak Island,United States,51.87799835,-176.6459961
ADL,Adelaide International Airport,Adelaide,Australia,-34.945,138.531006
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033
ADU,Ardabil Airport,Ardabil,Iran,38.32569885,48.42440033
ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,12.5836,-81.7112
AEB,Baise Youjiang Airport,Baise,China,23.72060013,106.9599991
AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156
AER,Sochi International Airport,Sochi,Russia,43.449902,39.9566
AES,Ålesund Airport,Alesund,Norway,62.5625,6.119699955
AET,Allakaket Airport,Allakaket,United States,66.55180359,-152.621994
AEX,Alexandria International Airport,Alexandria,United States,31.32740021,-92.54979706
AEY,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.588299,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,-9.866389275,-56.10499954
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.16809845,57.59519958
AGA,Al Massira Airport,Agadir,Morocco,30.32500076,-9.413069725
AGB,Augsburg Airport,Augsburg,Germany,48.425278,10.931667
AGF,Agen-La Garenne Airport,Agen,France,44.17470169,0.590556026
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,56.29610062,12.84710026
AGN,Angoon Seaplane Base,Angoon,United States,57.503601,-134.585007
AGP,Málaga Airport,Malaga,Spain,36.67490005,-4.499110222
AGR,Agra Airport,Agra,India,27.15579987,77.96089935
AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043
AGT,Guarani International Airport,Ciudad del Este,Paraguay,-25.454516,-54.842682
AGU,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,21.705601,-102.318001
AGX,Agatti Airport,Agatti Island,India,10.82369995,72.1760025
AHB,Abha Regional Airport,Abha,Saudi Arabia,18.24040031,42.65660095
AHE,Ahe Airport,Ahe,French Polynesia,-14.42809963,-146.2570038
AHN,Athens Ben Epps Airport,Athens,United States,33.94860077,-83.32630157
AHO,Alghero-Fertilia Airport,Alghero,Italy,40.632099,8.29077
AHU,Cherif Al Idrissi Airport,Al Hociema,Morocco,35.17710114,-3.839519978
AIA,Alliance Municipal Airport,Alliance,United States,42.05319977,-102.8040009
AIN,Wainwright Airport,Wainwright,United States,70.63800049,-159.9949951
AIT,Aitutaki Airport,Aitutaki,Cook Islands,-18.83090019,-159.7640076
AIU,Enua Airport,Atiu Island,Cook Islands,-19.96780014,-158.1190033
AJA,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,41.92359924,8.802920341
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.78510094,40.09999847
AJI,Ağrı Airport,Agri,Turkey,39.65454102,43.02597809
AJL,Lengpui Airport,Aizwal,India,23.84059906,92.61969757
